"","ad_df[, 3]","round(jitter(ad_df[, 6], 5))"
"1",2017-12-03,329
"2",2017-12-08,329
"3",2017-12-04,295
"4",2017-12-04,294
"5",2017-12-03,289
"6",2017-12-07,289
"7",2017-12-08,152
"8",2017-12-08,146
"9",2017-12-09,147
"10",2017-12-10,146
"11",2017-12-10,148
"12",2017-12-09,149
"13",2017-12-11,148
"14",2017-12-09,149
"15",2017-12-09,108
"16",2017-12-11,113
"17",2017-12-12,108
"18",2017-12-14,107
"19",2017-12-12,108
"20",2017-12-13,109
"21",2017-12-15,107
"22",2017-12-14,109
"23",2017-12-17,109
"24",2017-12-12,113
"25",2017-12-15,103
"26",2017-12-13,112
"27",2017-12-18,106
"28",2017-12-16,109
"29",2017-12-17,105
"30",2017-12-18,113
"31",2017-12-18,131
"32",2017-12-17,129
"33",2017-12-19,148
"34",2017-12-20,146
"35",2017-12-17,230
"36",2017-12-22,224
"37",2017-12-22,179
"38",2017-12-23,182
"39",2017-12-21,200
"40",2017-12-23,206
"41",2017-12-23,286
"42",2017-12-23,286
"43",2017-12-25,404
"44",2017-12-24,405
"45",2017-12-28,470
"46",2017-12-26,478
"47",2017-12-24,562
"48",2017-12-26,564
"49",2017-12-27,421
"50",2017-12-31,420
"51",2017-12-29,285
"52",2017-12-27,286
"53",2017-12-29,399
"54",2017-12-31,402
"55",2017-12-30,567
"56",2017-12-31,570
"57",2017-12-29,538
"58",2018-01-01,537
"59",2018-01-02,543
"60",2018-01-03,538
"61",2018-01-03,401
"62",2018-01-05,401
"63",2018-01-04,399
"64",2018-01-04,406
"65",2018-01-04,400
"66",2018-01-03,402
"67",2018-01-05,377
"68",2018-01-05,376
"69",2018-01-06,421
"70",2018-01-06,420
"71",2018-01-09,371
"72",2018-01-08,375
"73",2018-01-09,229
"74",2018-01-07,226
"75",2018-01-08,224
"76",2018-01-10,229
"77",2018-01-12,203
"78",2018-01-12,199
"79",2018-01-11,201
"80",2018-01-12,200
"81",2018-01-11,166
"82",2018-01-14,166
"83",2018-01-16,125
"84",2018-01-18,120
"85",2018-01-16,116
"86",2018-01-15,121
"87",2018-01-13,126
"88",2018-01-14,119
"89",2018-01-16,120
"90",2018-01-16,119
"91",2018-01-18,137
"92",2018-01-16,139
"93",2018-01-16,119
"94",2018-01-19,118
"95",2018-01-20,123
"96",2018-01-20,122
"97",2018-01-22,114
"98",2018-01-24,120
"99",2018-01-22,122
"100",2018-01-22,123
"101",2018-01-22,120
"102",2018-01-24,124
"103",2018-01-24,122
"104",2018-01-24,119
"105",2018-01-24,113
"106",2018-01-25,116
"107",2018-01-28,126
"108",2018-01-24,126
"109",2018-01-27,118
"110",2018-01-28,120
"111",2018-01-27,119
"112",2018-01-28,120
"113",2018-01-28,122
"114",2018-01-28,116
"115",2018-01-31,120
"116",2018-02-01,119
"117",2018-02-01,119
"118",2018-01-29,126
"119",2018-02-02,122
"120",2018-02-03,120
"121",2018-02-01,122
"122",2018-01-30,121
"123",2018-02-03,127
"124",2018-02-03,127
"125",2018-02-04,117
"126",2018-02-05,117
"127",2018-02-05,119
"128",2018-02-08,123
"129",2018-02-05,120
"130",2018-02-07,120
"131",2018-02-08,124
"132",2018-02-07,123
"133",2018-02-08,187
"134",2018-02-08,180
"135",2018-02-08,125
"136",2018-02-08,127
"137",2018-02-09,127
"138",2018-02-11,126
"139",2018-02-12,114
"140",2018-02-11,119
"141",2018-02-12,116
"142",2018-02-11,114
"143",2018-02-14,128
"144",2018-02-12,119
"145",2018-02-14,121
"146",2018-02-14,124
"147",2018-02-13,123
"148",2018-02-18,114
"149",2018-02-17,120
"150",2018-02-18,125
"151",2018-02-15,124
"152",2018-02-17,124
"153",2018-02-19,143
"154",2018-02-15,142
"155",2018-02-20,205
"156",2018-02-21,199
"157",2018-02-19,327
"158",2018-02-20,332
"159",2018-02-20,412
"160",2018-02-22,411
"161",2018-02-23,403
"162",2018-02-23,401
"163",2018-02-23,285
"164",2018-02-27,289
"165",2018-02-23,284
"166",2018-02-24,282
"167",2018-02-25,134
"168",2018-02-26,141
"169",2018-02-25,122
"170",2018-02-26,123
"171",2018-02-26,118
"172",2018-02-25,123
"173",2018-03-01,128
"174",2018-03-02,124
"175",2018-03-01,140
"176",2018-02-27,142
"177",2018-03-01,140
"178",2018-03-01,141
"179",2018-03-04,128
"180",2018-03-06,126
"181",2018-03-05,121
"182",2018-03-07,116
"183",2018-03-04,114
"184",2018-03-04,114
"185",2018-03-07,139
"186",2018-03-06,138
"187",2018-03-11,159
"188",2018-03-10,159
"189",2018-03-10,142
"190",2018-03-08,134
"191",2018-03-11,138
"192",2018-03-11,142
"193",2018-03-09,119
"194",2018-03-11,124
"195",2018-03-12,141
"196",2018-03-09,139
"197",2018-03-10,143
"198",2018-03-08,141
"199",2018-03-12,158
"200",2018-03-15,167
"201",2018-03-16,267
"202",2018-03-13,264
"203",2018-03-16,227
"204",2018-03-14,224
"205",2018-03-13,148
"206",2018-03-14,141
"207",2018-03-17,146
"208",2018-03-17,147
"209",2018-03-17,143
"210",2018-03-19,140
"211",2018-03-17,146
"212",2018-03-17,139
"213",2018-03-19,139
"214",2018-03-19,146
"215",2018-03-21,167
"216",2018-03-23,161
"217",2018-03-21,125
"218",2018-03-19,122
"219",2018-03-24,166
"220",2018-03-23,166
"221",2018-03-25,119
"222",2018-03-24,121
"223",2018-03-25,140
"224",2018-03-23,139
"225",2018-03-28,123
"226",2018-03-27,128
"227",2018-03-27,145
"228",2018-03-29,141
"229",2018-03-28,159
"230",2018-03-28,162
"231",2018-03-30,123
"232",2018-03-28,123
"233",2018-03-31,146
"234",2018-03-31,139
"235",2018-03-31,124
"236",2018-03-31,128
"237",2018-04-01,123
"238",2018-04-03,123
"239",2018-04-03,123
"240",2018-04-02,123
"241",2018-04-03,167
"242",2018-04-02,161
"243",2018-04-06,165
"244",2018-04-04,159
"245",2018-04-05,143
"246",2018-04-04,146
