Origin,Destination,FlightDate,FlightType,FareType,DollarFare,DollarTax,PointsFare,PointsTax,IsDomesticRoute,IsPrivateFare
UIO,FLL,12/1/2017,NONSTOP,LOWEST,377.71,171.71,0,0,0,0
UIO,FLL,12/1/2017,NONSTOP,POINTS,377.71,171.71,15300,148.21,0,0
MDE,FLL,12/1/2017,NONSTOP,LOWEST,257.26,127.26,0,0,0,0
MDE,FLL,12/1/2017,NONSTOP,POINTS,257.26,127.26,9700,79.06,0,0
BQN,FLL,12/1/2017,NONSTOP,LOWEST,356.6,23.6,0,0,1,0
BQN,FLL,12/1/2017,NONSTOP,POINTS,356.6,23.6,35100,5.6,1,0
KIN,JFK,12/1/2017,NONSTOP,LOWEST,310.28,116.28,0,0,0,0
KIN,JFK,12/1/2017,NONSTOP,POINTS,310.28,116.28,14400,87.98,0,0
SDQ,BOS,12/1/2017,NONSTOP,LOWEST,440.96,139.96,0,0,0,0
SDQ,BOS,12/1/2017,NONSTOP,POINTS,440.96,139.96,22300,62.26,0,0
BUF,JFK,12/1/2017,NONSTOP,LOWEST,178.2,25.64,0,0,1,0
BUF,JFK,12/1/2017,NONSTOP,POINTS,178.2,25.64,13200,5.6,1,0
STI,BOS,12/1/2017,NONSTOP,LOWEST,429.16,138.16,0,0,0,0
STI,BOS,12/1/2017,NONSTOP,POINTS,429.16,138.16,23300,62.26,0,0
BOS,FLL,12/1/2017,NONSTOP,LOWEST,393.2,40.64,0,0,1,0
BOS,FLL,12/1/2017,NONSTOP,POINTS,377.2,39.53,31600,5.6,1,1
BTV,JFK,12/1/2017,NONSTOP,LOWEST,203.2,27.39,0,0,1,0
BTV,JFK,12/1/2017,NONSTOP,POINTS,203.2,27.39,15200,5.6,1,0
JAX,JFK,12/1/2017,NONSTOP,LOWEST,291.2,33.53,0,0,1,0
JAX,JFK,12/1/2017,NONSTOP,POINTS,268.2,31.92,20400,5.6,1,1
PIT,BOS,12/1/2017,NONSTOP,LOWEST,83.2,19.01,0,0,1,0
PIT,BOS,12/1/2017,NONSTOP,POINTS,83.2,19.01,5200,5.6,1,0
SYR,JFK,12/1/2017,NONSTOP,LOWEST,123.21,21.81,0,0,1,0
SYR,JFK,12/1/2017,NONSTOP,POINTS,123.21,21.81,8100,5.6,1,0
ROC,JFK,12/1/2017,NONSTOP,LOWEST,203.2,27.39,0,0,1,0
ROC,JFK,12/1/2017,NONSTOP,POINTS,203.2,27.39,16500,5.6,1,0
PWM,JFK,12/1/2017,NONSTOP,LOWEST,213.2,28.08,0,0,1,0
PWM,JFK,12/1/2017,NONSTOP,POINTS,213.2,28.08,17400,5.6,1,0
EWR,MCO,12/1/2017,NONSTOP,LOWEST,239.2,29.9,0,0,1,0
EWR,MCO,12/1/2017,NONSTOP,POINTS,239.2,29.9,16700,5.6,1,0
AUS,JFK,12/1/2017,NONSTOP,LOWEST,338.21,36.81,0,0,1,0
