Origin,Destination,FlightDate,FlightType,FareType,DollarFare,DollarTax,PointsFare,PointsTax,IsDomesticRoute,IsPrivateFare
UIO,FLL,2/1/2018,NONSTOP,LOWEST,237.71,156.71,0,0,0,0
UIO,FLL,2/1/2018,NONSTOP,POINTS,237.71,156.71,6000,133.21,0,0
MDE,FLL,2/1/2018,NONSTOP,LOWEST,191.86,116.86,0,0,0,0
MDE,FLL,2/1/2018,NONSTOP,POINTS,191.86,116.86,5600,79.06,0,0
PSE,MCO,2/1/2018,NONSTOP,LOWEST,97.6,23.6,0,0,1,0
PSE,MCO,2/1/2018,NONSTOP,POINTS,97.6,23.6,5500,5.6,1,0
BQN,MCO,2/1/2018,NONSTOP,LOWEST,97.6,23.6,0,0,1,0
BQN,MCO,2/1/2018,NONSTOP,POINTS,97.6,23.6,5500,5.6,1,0
SJU,EWR,2/1/2018,NONSTOP,LOWEST,130.1,28.1,0,0,1,0
SJU,EWR,2/1/2018,NONSTOP,POINTS,130.1,28.1,7600,5.6,1,0
SDQ,BOS,2/1/2018,NONSTOP,LOWEST,269.86,113.86,0,0,0,0
SDQ,BOS,2/1/2018,NONSTOP,POINTS,269.86,113.86,11600,62.26,0,0
ROC,JFK,2/1/2018,NONSTOP,LOWEST,78.19,18.66,0,0,1,0
ROC,JFK,2/1/2018,NONSTOP,POINTS,78.19,18.66,4800,5.6,1,0
BQN,JFK,2/1/2018,NONSTOP,LOWEST,107.6,23.6,0,0,1,0
BQN,JFK,2/1/2018,NONSTOP,POINTS,107.6,23.6,6300,5.6,1,0
DTW,BOS,2/1/2018,NONSTOP,LOWEST,58.2,17.27,0,0,1,0
DTW,BOS,2/1/2018,NONSTOP,POINTS,58.2,17.27,3300,5.6,1,0
EWR,PBI,2/1/2018,NONSTOP,LOWEST,112.2,21.04,0,0,1,0
EWR,PBI,2/1/2018,NONSTOP,POINTS,112.2,21.04,7300,5.6,1,0
EWR,BOS,2/1/2018,NONSTOP,LOWEST,48.2,16.57,0,0,1,0
EWR,BOS,2/1/2018,NONSTOP,POINTS,48.2,16.57,2600,5.6,1,0
EWR,FLL,2/1/2018,NONSTOP,LOWEST,114.2,21.18,0,0,1,0
EWR,FLL,2/1/2018,NONSTOP,POINTS,114.2,21.18,7500,5.6,1,0
BOS,BWI,2/1/2018,NONSTOP,LOWEST,42.2,16.15,0,0,1,0
BOS,BWI,2/1/2018,NONSTOP,POINTS,42.2,16.15,2100,5.6,1,0
BDL,SJU,2/1/2018,NONSTOP,LOWEST,197.1,28.1,0,0,1,0
BDL,SJU,2/1/2018,NONSTOP,POINTS,197.1,28.1,12600,5.6,1,0
AUS,JFK,2/1/2018,NONSTOP,LOWEST,98.2,20.06,0,0,1,0
AUS,JFK,2/1/2018,NONSTOP,POINTS,98.2,20.06,6300,5.6,1,0
JFK,MBJ,2/1/2018,NONSTOP,LOWEST,332.1,72.1,0,0,0,0
JFK,MBJ,2/1/2018,NONSTOP,POINTS,332.1,72.1,19300,49.6,0,0
FLL,EWR,2/1/2018,NONSTOP,LOWEST,40.2,16.01,0,0,1,0
FLL,EWR,2/1/2018,NONSTOP,POINTS,40.2,16.01,2000,5.6,1,0
JAX,JFK,2/1/2018,NONSTOP,LOWEST,88.2,19.36,0,0,1,0
JAX,JFK,2/1/2018,NONSTOP,POINTS,88.2,19.36,5500,5.6,1,0
LGA,FLL,2/1/2018,NONSTOP,LOWEST,111.2,20.97,0,0,1,0
LGA,FLL,2/1/2018,NONSTOP,POINTS,111.2,20.97,7200,5.6,1,0
SDQ,JFK,2/1/2018,NONSTOP,LOWEST,144.76,94.76,0,0,0,0
SDQ,JFK,2/1/2018,NONSTOP,POINTS,144.76,94.76,3800,62.26,0,0
PSE,JFK,2/1/2018,NONSTOP,LOWEST,113.6,23.6,0,0,1,0
PSE,JFK,2/1/2018,NONSTOP,POINTS,113.6,23.6,6700,5.6,1,0
PIT,BOS,2/1/2018,NONSTOP,LOWEST,78.19,18.66,0,0,1,0
PIT,BOS,2/1/2018,NONSTOP,POINTS,78.19,18.66,4800,5.6,1,0
OAK,LGB,2/1/2018,NONSTOP,LOWEST,48.2,16.57,0,0,1,0
OAK,LGB,2/1/2018,NONSTOP,POINTS,48.2,16.57,2600,5.6,1,0
SJU,BOS,2/1/2018,NONSTOP,LOWEST,162.1,28.1,0,0,1,0
SJU,BOS,2/1/2018,NONSTOP,POINTS,162.1,28.1,10000,5.6,1,0
JFK,KIN,2/1/2018,NONSTOP,LOWEST,187.1,72.1,0,0,0,0
JFK,KIN,2/1/2018,NONSTOP,POINTS,187.1,72.1,8600,49.6,0,0
CHS,DCA,2/1/2018,NONSTOP,LOWEST,48.2,16.57,0,0,1,0
CHS,DCA,2/1/2018,NONSTOP,POINTS,48.2,16.57,2600,5.6,1,0
MCO,LGA,2/1/2018,NONSTOP,LOWEST,68.2,17.97,0,0,1,0
MCO,LGA,2/1/2018,NONSTOP,POINTS,68.2,17.97,4000,5.6,1,0
RDU,BOS,2/1/2018,NONSTOP,LOWEST,108.2,20.76,0,0,1,0
RDU,BOS,2/1/2018,NONSTOP,POINTS,108.2,20.76,7000,5.6,1,0
BOS,EWR,2/1/2018,NONSTOP,LOWEST,48.2,16.57,0,0,1,0
BOS,EWR,2/1/2018,NONSTOP,POINTS,48.2,16.57,2600,5.6,1,0
BOS,RDU,2/1/2018,NONSTOP,LOWEST,108.2,20.76,0,0,1,0
BOS,RDU,2/1/2018,NONSTOP,POINTS,108.2,20.76,7000,5.6,1,0
EWR,RSW,2/1/2018,NONSTOP,LOWEST,148.2,23.55,0,0,1,0
EWR,RSW,2/1/2018,NONSTOP,POINTS,148.2,23.55,10000,5.6,1,0
SLC,LGB,2/1/2018,NONSTOP,LOWEST,53.2,16.92,0,0,1,0
SLC,LGB,2/1/2018,NONSTOP,POINTS,53.2,16.92,2900,5.6,1,0
HPN,MCO,2/1/2018,NONSTOP,LOWEST,136.98,22.77,0,0,1,0
HPN,MCO,2/1/2018,NONSTOP,POINTS,136.98,22.77,9100,5.6,1,0
LGA,BOS,2/1/2018,NONSTOP,LOWEST,81.2,18.87,0,0,1,0
LGA,BOS,2/1/2018,NONSTOP,POINTS,81.2,18.87,5000,5.6,1,0
PBI,EWR,2/1/2018,NONSTOP,LOWEST,94.2,19.78,0,0,1,0
PBI,EWR,2/1/2018,NONSTOP,POINTS,94.2,19.78,6000,5.6,1,0
FLL,MEX,2/1/2018,NONSTOP,LOWEST,94.82,54.82,0,0,0,0
FLL,MEX,2/1/2018,NONSTOP,POINTS,94.82,54.82,3000,32.32,0,0
FLL,PAP,2/1/2018,NONSTOP,LOWEST,115.6,40.6,0,0,0,0
FLL,PAP,2/1/2018,NONSTOP,POINTS,115.6,40.6,5600,18.1,0,0
BOS,LGA,2/1/2018,NONSTOP,LOWEST,81.2,18.87,0,0,1,0
BOS,LGA,2/1/2018,NONSTOP,POINTS,81.2,18.87,5000,5.6,1,0
FLL,KIN,2/1/2018,NONSTOP,LOWEST,105.1,72.1,0,0,0,0
FLL,KIN,2/1/2018,NONSTOP,POINTS,105.1,72.1,2500,49.6,0,0
JFK,SFO,2/1/2018,NONSTOP,LOWEST,118.2,21.46,0,0,1,0
JFK,SFO,2/1/2018,NONSTOP,POINTS,118.2,21.46,7800,5.6,1,0
JFK,PBI,2/1/2018,NONSTOP,LOWEST,134.2,22.57,0,0,1,0
