Origin,Destination,FlightDate,FlightType,FareType,DollarFare,DollarTax,PointsFare,PointsTax,IsDomesticRoute,IsPrivateFare
LAX,JFK,1/1/2018,NONSTOP,LOWEST,372.99,39.23,0,0,1,0
LAX,JFK,1/1/2018,NONSTOP,POINTS,372.99,39.23,28800,5.6,1,0
UIO,FLL,1/1/2018,NONSTOP,LOWEST,377.71,171.71,0,0,0,0
UIO,FLL,1/1/2018,NONSTOP,POINTS,377.71,171.71,15300,148.21,0,0
MDE,FLL,1/1/2018,NONSTOP,LOWEST,292.96,132.96,0,0,0,0
MDE,FLL,1/1/2018,NONSTOP,POINTS,292.96,132.96,11900,79.06,0,0
KIN,JFK,1/1/2018,NONSTOP,LOWEST,493.28,116.28,0,0,0,0
KIN,JFK,1/1/2018,NONSTOP,POINTS,493.28,116.28,32800,87.98,0,0
PSE,MCO,1/1/2018,NONSTOP,LOWEST,187.6,23.6,0,0,1,0
PSE,MCO,1/1/2018,NONSTOP,POINTS,187.6,23.6,12200,5.6,1,0
SJU,BOS,1/1/2018,NONSTOP,LOWEST,230.1,28.1,0,0,1,0
SJU,BOS,1/1/2018,NONSTOP,POINTS,230.1,28.1,15000,5.6,1,0
BOG,FLL,1/1/2018,NONSTOP,LOWEST,496.36,163.36,0,0,0,0
BOG,FLL,1/1/2018,NONSTOP,POINTS,496.36,163.36,26700,76.56,0,0
SJU,EWR,1/1/2018,NONSTOP,LOWEST,230.1,28.1,0,0,1,0
SJU,EWR,1/1/2018,NONSTOP,POINTS,230.1,28.1,15000,5.6,1,0
SJU,BDL,1/1/2018,NONSTOP,LOWEST,204.1,28.1,0,0,1,0
SJU,BDL,1/1/2018,NONSTOP,POINTS,204.1,28.1,13100,5.6,1,0
SDQ,BOS,1/1/2018,NONSTOP,LOWEST,440.96,139.96,0,0,0,0
SDQ,BOS,1/1/2018,NONSTOP,POINTS,440.96,139.96,22300,62.26,0,0
BQN,MCO,1/1/2018,NONSTOP,LOWEST,183.6,23.6,0,0,1,0
BQN,MCO,1/1/2018,NONSTOP,POINTS,183.6,23.6,11900,5.6,1,0
STI,BOS,1/1/2018,NONSTOP,LOWEST,463.36,143.36,0,0,0,0
