Origin,Destination,FlightDate,FlightType,FareType,DollarFare,DollarTax,PointsFare,PointsTax,IsDomesticRoute,IsPrivateFare
UIO,FLL,3/1/2018,NONSTOP,LOWEST,263.47,159.47,0,0,0,0
UIO,FLL,3/1/2018,NONSTOP,POINTS,263.47,159.47,7800,135.97,0,0
MDE,FLL,3/1/2018,NONSTOP,LOWEST,209.66,119.66,0,0,0,0
MDE,FLL,3/1/2018,NONSTOP,POINTS,209.66,119.66,6700,79.06,0,0
PSE,MCO,3/1/2018,NONSTOP,LOWEST,103.6,23.6,0,0,1,0
PSE,MCO,3/1/2018,NONSTOP,POINTS,103.6,23.6,6000,5.6,1,0
BQN,MCO,3/1/2018,NONSTOP,LOWEST,103.6,23.6,0,0,1,0
BQN,MCO,3/1/2018,NONSTOP,POINTS,103.6,23.6,6000,5.6,1,0
SDQ,BOS,3/1/2018,NONSTOP,LOWEST,269.86,113.86,0,0,0,0
SDQ,BOS,3/1/2018,NONSTOP,POINTS,269.86,113.86,11600,62.26,0,0
STI,BOS,3/1/2018,NONSTOP,LOWEST,281.66,115.66,0,0,0,0
STI,BOS,3/1/2018,NONSTOP,POINTS,281.66,115.66,12300,62.26,0,0
SJU,EWR,3/1/2018,NONSTOP,LOWEST,130.1,28.1,0,0,1,0
SJU,EWR,3/1/2018,NONSTOP,POINTS,130.1,28.1,7600,5.6,1,0
SJU,BOS,3/1/2018,NONSTOP,LOWEST,168.1,28.1,0,0,1,0
SJU,BOS,3/1/2018,NONSTOP,POINTS,168.1,28.1,10400,5.6,1,0
PSE,JFK,3/1/2018,NONSTOP,LOWEST,138.6,23.6,0,0,1,0
PSE,JFK,3/1/2018,NONSTOP,POINTS,138.6,23.6,8600,5.6,1,0
EWR,BOS,3/1/2018,NONSTOP,LOWEST,133.2,22.5,0,0,1,0
EWR,BOS,3/1/2018,NONSTOP,POINTS,133.2,22.5,8900,5.6,1,0
ROC,JFK,3/1/2018,NONSTOP,LOWEST,83.2,19.01,0,0,1,0
ROC,JFK,3/1/2018,NONSTOP,POINTS,83.2,19.01,5200,5.6,1,0
EWR,MCO,3/1/2018,NONSTOP,LOWEST,129.2,22.22,0,0,1,0
EWR,MCO,3/1/2018,NONSTOP,POINTS,129.2,22.22,8600,5.6,1,0
SDQ,JFK,3/1/2018,NONSTOP,LOWEST,207.26,104.26,0,0,0,0
SDQ,JFK,3/1/2018,NONSTOP,POINTS,207.26,104.26,7700,62.26,0,0
PBI,EWR,3/1/2018,NONSTOP,LOWEST,94.2,19.78,0,0,1,0
PBI,EWR,3/1/2018,NONSTOP,POINTS,94.2,19.78,6000,5.6,1,0
DTW,BOS,3/1/2018,NONSTOP,LOWEST,68.2,17.97,0,0,1,0
DTW,BOS,3/1/2018,NONSTOP,POINTS,68.2,17.97,4000,5.6,1,0
CLE,BOS,3/1/2018,NONSTOP,LOWEST,50.2,16.71,0,0,1,0
CLE,BOS,3/1/2018,NONSTOP,POINTS,50.2,16.71,2700,5.6,1,0
DCA,BOS,3/1/2018,NONSTOP,LOWEST,103.2,20.41,0,0,1,0
DCA,BOS,3/1/2018,NONSTOP,POINTS,103.2,20.41,6600,5.6,1,0
BWI,BOS,3/1/2018,NONSTOP,LOWEST,93.2,19.71,0,0,1,0
BWI,BOS,3/1/2018,NONSTOP,POINTS,93.2,19.71,5900,5.6,1,0
CHS,DCA,3/1/2018,NONSTOP,LOWEST,67.2,17.9,0,0,1,0
CHS,DCA,3/1/2018,NONSTOP,POINTS,67.2,17.9,4000,5.6,1,0
BOS,EWR,3/1/2018,NONSTOP,LOWEST,178.2,25.64,0,0,1,0
BOS,EWR,3/1/2018,NONSTOP,POINTS,178.2,25.64,12200,5.6,1,0
BDL,SJU,3/1/2018,NONSTOP,LOWEST,204.1,28.1,0,0,1,0
BDL,SJU,3/1/2018,NONSTOP,POINTS,204.1,28.1,13100,5.6,1,0
AUS,JFK,3/1/2018,NONSTOP,LOWEST,123.21,21.81,0,0,1,0
AUS,JFK,3/1/2018,NONSTOP,POINTS,123.21,21.81,8100,5.6,1,0
EWR,TPA,3/1/2018,NONSTOP,LOWEST,210.2,27.87,0,0,1,0
EWR,TPA,3/1/2018,NONSTOP,POINTS,210.2,27.87,14600,5.6,1,0
LGA,FLL,3/1/2018,NONSTOP,LOWEST,140.2,22.99,0,0,1,0
